Region_Type,hour,services
Metro,0,2154
Metro,1,702
Metro,2,384
Metro,3,380
Metro,4,715
Metro,5,2794
Metro,6,4369
Metro,7,6739
Metro,8,7897
Metro,9,6736
Metro,10,6093
Metro,11,6073
Metro,12,6123
Metro,13,5925
Metro,14,6037
Metro,15,6651
Metro,16,7862
Metro,17,8181
Metro,18,7701
Metro,19,5623
Metro,20,4480
Metro,21,3948
Metro,22,3778
Metro,23,3464
Regional,0,662
Regional,1,379
Regional,2,150
Regional,3,28
Regional,4,187
Regional,5,719
Regional,6,1345
Regional,7,1771
Regional,8,2014
Regional,9,1889
Regional,10,2037
Regional,11,1961
Regional,12,1930
Regional,13,1971
Regional,14,2075
Regional,15,1973
Regional,16,2075
Regional,17,2227
Regional,18,2204
Regional,19,1955
Regional,20,1924
Regional,21,1685
Regional,22,1329
Regional,23,894
