Day,Region_Type,hour,avg_wait_time
Weekday,Metro,0,3.134600760456274
Weekday,Metro,1,6.813842482100239
Weekday,Metro,2,10.50909090909091
Weekday,Metro,3,10.12396694214876
Weekday,Metro,4,6.177897574123989
Weekday,Metro,5,1.8212689901697945
Weekday,Metro,6,1.3975363941769317
Weekday,Metro,7,0.9550792171481827
Weekday,Metro,8,0.8215274385279271
Weekday,Metro,9,0.9655734365451212
Weekday,Metro,10,1.268856767411301
Weekday,Metro,11,1.318131256952169
Weekday,Metro,12,1.3437069677774718
Weekday,Metro,13,1.3312356979405033
Weekday,Metro,14,1.345906677842973
Weekday,Metro,15,1.2001911132345915
Weekday,Metro,16,0.9957065521747247
Weekday,Metro,17,0.8756331877729258
Weekday,Metro,18,0.9732599292174597
Weekday,Metro,19,1.343477035784728
Weekday,Metro,20,1.7351837959489873
Weekday,Metro,21,1.9673721340388006
Weekday,Metro,22,2.351152073732719
Weekday,Metro,23,2.1458639255996084
Weekday,Regional,0,6.068421052631579
Weekday,Regional,1,5.868544600938967
Weekday,Regional,2,7.574257425742574
Weekday,Regional,3,13.0
Weekday,Regional,4,0.91875
Weekday,Regional,5,2.2122641509433962
Weekday,Regional,6,2.6749521988527722
Weekday,Regional,7,2.09478672985782
Weekday,Regional,8,2.2662284305669678
Weekday,Regional,9,3.4634377967711303
Weekday,Regional,10,3.3366533864541834
Weekday,Regional,11,3.4347826086956523
Weekday,Regional,12,3.282828282828283
Weekday,Regional,13,3.8582375478927204
Weekday,Regional,14,3.3237209302325583
Weekday,Regional,15,3.452081316553727
Weekday,Regional,16,3.2238805970149254
Weekday,Regional,17,2.579890880748246
Weekday,Regional,18,2.9145962732919255
Weekday,Regional,19,2.7868852459016393
Weekday,Regional,20,3.1399594320486814
Weekday,Regional,21,3.495305164319249
Weekday,Regional,22,3.7142857142857144
Weekday,Regional,23,3.857670979667283
Weekend,Metro,0,2.4705525197328475
Weekend,Metro,1,5.17870036101083
Weekend,Metro,2,6.777439024390244
Weekend,Metro,3,2.4555984555984556
Weekend,Metro,4,2.9244186046511627
Weekend,Metro,5,2.947794779477948
Weekend,Metro,6,2.0253807106598987
Weekend,Metro,7,1.722035166479611
Weekend,Metro,8,1.284543325526932
Weekend,Metro,9,1.2349957734573118
Weekend,Metro,10,1.0804571940833707
Weekend,Metro,11,1.0163189423672796
Weekend,Metro,12,0.958940669267091
Weekend,Metro,13,0.9715849294885287
Weekend,Metro,14,1.0264308012486993
Weekend,Metro,15,0.9950217797137524
Weekend,Metro,16,0.9983666802776644
Weekend,Metro,17,0.994585589337776
Weekend,Metro,18,0.9902152641878669
Weekend,Metro,19,1.1165841584158416
Weekend,Metro,20,1.2886744252057905
Weekend,Metro,21,1.386919315403423
Weekend,Metro,22,1.5498248965297676
Weekend,Metro,23,1.5064423765211168
Weekend,Regional,0,4.222433460076045
Weekend,Regional,1,5.029315960912052
Weekend,Regional,2,8.011363636363637
Weekend,Regional,3,1.0833333333333333
Weekend,Regional,4,2.4444444444444446
Weekend,Regional,5,0.8258064516129032
Weekend,Regional,6,1.8300180831826403
Weekend,Regional,7,2.3404255319148937
Weekend,Regional,8,2.2214673913043477
Weekend,Regional,9,1.8293625241468126
Weekend,Regional,10,1.9885237350026082
Weekend,Regional,11,1.9267877412031782
Weekend,Regional,12,1.8952489982827705
Weekend,Regional,13,2.038327526132404
Weekend,Regional,14,2.028002154011847
Weekend,Regional,15,2.0263459335624283
Weekend,Regional,16,2.121309715512614
Weekend,Regional,17,1.8988636363636364
Weekend,Regional,18,1.8609154929577465
Weekend,Regional,19,1.6392722710163112
Weekend,Regional,20,2.135554279149914
Weekend,Regional,21,1.9612403100775193
Weekend,Regional,22,2.581
Weekend,Regional,23,3.362406015037594
