ABSLGACODE,LGA_NAME,population,actual_stop_count,weekly_avg_services,weekly_services_per_10k,Region_Type
20660,BANYULE,126236.0,10,0.0,0.0,Metro
27350,YARRA,90114.0,10,2901.4,321.97,Metro
20910,BAYSIDE,101306.0,10,0.0,0.0,Regional
23110,HOBSONS BAY,91322.0,11,0.0,0.0,Metro
23430,KINGSTON,158129.0,12,0.0,0.0,Metro
25250,MERRI-BEK,171357.0,13,0.0,0.0,Regional
21110,BOROONDARA,167900.0,14,0.0,0.0,Metro
26350,STONNINGTON,104703.0,15,0.0,0.0,Metro
21890,DAREBIN,148570.0,17,0.0,0.0,Metro
24600,MELBOURNE,149615.0,19,7688.3,513.87,Metro
